,Raw,Package,Details
208,"stunnel4/focal,now 3:5.56-1 amd64 [installed]",stunnel4,"focal,now 3:5.56-1 amd64 [installed]"
209,"swig/focal,now 4.0.1-5build1 all [installed]",swig,"focal,now 4.0.1-5build1 all [installed]"
210,"sysvinit-utils/focal,now 2.96-2.1ubuntu1 amd64 [installed]",sysvinit-utils,"focal,now 2.96-2.1ubuntu1 amd64 [installed]"
211,"tar/focal-updates,focal-security,now 1.30+dfsg-7ubuntu0.20.04.3 amd64 [installed]",tar,"focal-updates,focal-security,now 1.30+dfsg-7ubuntu0.20.04.3 amd64 [installed]"
212,"tcpflow/focal,now 1.5.2+repack1-1build2 amd64 [installed]",tcpflow,"focal,now 1.5.2+repack1-1build2 amd64 [installed]"
213,"tcpick/focal,now 0.2.1-8 amd64 [installed]",tcpick,"focal,now 0.2.1-8 amd64 [installed]"
214,"tcpreplay/focal,now 4.3.2-1build1 amd64 [installed]",tcpreplay,"focal,now 4.3.2-1build1 amd64 [installed]"
215,"tcpslice/focal,now 1.2a3-4build1 amd64 [installed]",tcpslice,"focal,now 1.2a3-4build1 amd64 [installed]"
216,"tcpstat/focal,now 1.5-8build1 amd64 [installed]",tcpstat,"focal,now 1.5-8build1 amd64 [installed]"
217,"tcptrace/focal,now 6.6.7-6 amd64 [installed]",tcptrace,"focal,now 6.6.7-6 amd64 [installed]"
218,"tcptrack/focal,now 1.4.2-2build3 amd64 [installed]",tcptrack,"focal,now 1.4.2-2build3 amd64 [installed]"
219,"tcpxtract/focal,now 1.0.1-13 amd64 [installed]",tcpxtract,"focal,now 1.0.1-13 amd64 [installed]"
220,"testdisk/focal,now 7.1-5 amd64 [installed]",testdisk,"focal,now 7.1-5 amd64 [installed]"
221,"tmux/focal-updates,focal-security,now 3.0a-2ubuntu0.4 amd64 [installed]",tmux,"focal-updates,focal-security,now 3.0a-2ubuntu0.4 amd64 [installed]"
222,"tofrodos/focal,now 1.7.13+ds-4 amd64 [installed]",tofrodos,"focal,now 1.7.13+ds-4 amd64 [installed]"
223,"transmission/focal,now 2.94-2ubuntu3 all [installed]",transmission,"focal,now 2.94-2ubuntu3 all [installed]"
224,"ubuntu-desktop/focal-updates,now 1.450.2 amd64 [installed]",ubuntu-desktop,"focal-updates,now 1.450.2 amd64 [installed]"
225,"ubuntu-minimal/focal-updates,now 1.450.2 amd64 [installed]",ubuntu-minimal,"focal-updates,now 1.450.2 amd64 [installed]"
226,"ubuntu-server/focal-updates,now 1.450.2 amd64 [installed]",ubuntu-server,"focal-updates,now 1.450.2 amd64 [installed]"
227,"ubuntu-standard/focal-updates,now 1.450.2 amd64 [installed]",ubuntu-standard,"focal-updates,now 1.450.2 amd64 [installed]"
228,"unity-control-center/focal,now 15.04.0+19.10.20190921-0ubuntu3 amd64 [installed]",unity-control-center,"focal,now 15.04.0+19.10.20190921-0ubuntu3 amd64 [installed]"
229,"unrar/focal,now 1:5.6.6-2build1 amd64 [installed]",unrar,"focal,now 1:5.6.6-2build1 amd64 [installed]"
230,"unzip/focal-updates,focal-security,now 6.0-25ubuntu1.1 amd64 [installed]",unzip,"focal-updates,focal-security,now 6.0-25ubuntu1.1 amd64 [installed]"
231,"upx-ucl/focal,now 3.95-2build1 amd64 [installed]",upx-ucl,"focal,now 3.95-2build1 amd64 [installed]"
232,"vbindiff/focal,now 3.0-beta5-1build2 amd64 [installed]",vbindiff,"focal,now 3.0-beta5-1build2 amd64 [installed]"
233,"virtuoso-minimal/focal,now 6.1.6+repack-0ubuntu10 all [installed]",virtuoso-minimal,"focal,now 6.1.6+repack-0ubuntu10 all [installed]"
234,"vmfs-tools/focal,now 0.2.5-1build1 amd64 [installed]",vmfs-tools,"focal,now 0.2.5-1build1 amd64 [installed]"
235,"wget/focal-updates,now 1.20.3-1ubuntu2 amd64 [installed]",wget,"focal-updates,now 1.20.3-1ubuntu2 amd64 [installed]"
236,"winbind/focal-updates,focal-security,now 2:4.15.13+dfsg-0ubuntu0.20.04.1 amd64 [installed]",winbind,"focal-updates,focal-security,now 2:4.15.13+dfsg-0ubuntu0.20.04.1 amd64 [installed]"
237,"wine-stable/focal,now 3.0.1ubuntu1 all [installed]",wine-stable,"focal,now 3.0.1ubuntu1 all [installed]"
238,"wireshark/focal,now 3.2.3-1 amd64 [installed]",wireshark,"focal,now 3.2.3-1 amd64 [installed]"
239,"xdot/focal,now 1.1-2 all [installed]",xdot,"focal,now 1.1-2 all [installed]"
240,"xmount/focal,now 0.7.6-3sift1~focal amd64 [installed]",xmount,"focal,now 0.7.6-3sift1~focal amd64 [installed]"
